original_title,portuguese_title,release_date,duration_minutes,age_rating,theme,director,country,actors,languages
The Departed,Os Infiltrados,2006,151,18 anos,Suspense,Martin Scorsese,Estados Unidos,Leonardo DiCaprio,Inglês
Shutter Island,Ilha do Medo,2010,138,16 anos,Suspense,Martin Scorsese,Estados Unidos,Leonardo DiCaprio,Inglês
The Wolf of Wall Street,O Lobo de Wall Street,2013,180,18 anos,Comédia,Martin Scorsese,Estados Unidos,Leonardo DiCaprio,Inglês
The Aviator,O Aviador,2004,170,12 anos,Drama,Martin Scorsese,Estados Unidos,Leonardo DiCaprio,Inglês
Gangs of New York,Gangues de Nova York,2002,167,16 anos,Drama,Martin Scorsese,Estados Unidos,Leonardo DiCaprio,Inglês
Killers of the Flower Moon,Assassinos da Lua das Flores,2023,206,16 anos,Drama,Martin Scorsese,Estados Unidos,Leonardo DiCaprio|Robert De Niro,Inglês
The Irishman,O Irlandês,2019,209,16 anos,Drama,Martin Scorsese,Estados Unidos,Robert De Niro|Al Pacino,Inglês
"New York, New York","New York, New York",1977,163,12 anos,Drama,Martin Scorsese,Estados Unidos,Robert De Niro,Inglês
Titanic,Titanic,1997,194,12 anos,Drama,James Cameron,Estados Unidos,Leonardo DiCaprio,Inglês
Thelma & Louise,Thelma & Louise,1991,130,14 anos,Drama,Ridley Scott,Estados Unidos,Brad Pitt,Inglês
House of Gucci,Casa Gucci,2021,158,14 anos,Drama,Ridley Scott,Estados Unidos,Al Pacino,Inglês
The Counselor,O Conselheiro do Crime,2013,117,16 anos,Suspense,Ridley Scott,Estados Unidos,Brad Pitt,Inglês
Se7en,Seven: Os Sete Crimes Capitais,1995,127,18 anos,Suspense,David Fincher,Estados Unidos,Brad Pitt|Morgan Freeman,Inglês
Fight Club,Clube da Luta,1999,139,18 anos,Drama,David Fincher,Estados Unidos,Brad Pitt,Inglês
The Curious Case of Benjamin Button,O Curioso Caso de Benjamin Button,2008,166,12 anos,Drama,David Fincher,Estados Unidos,Brad Pitt,Inglês

