original_title,portuguese_title,release_date,duration_minutes,age_rating,theme,director,country,actors,languages
Kagemusha,Kagemusha: A Sombra do Samurai,1980,180,14 anos,Drama,Akira Kurosawa,Japão,Tatsuya Nakadai,Japonês
Ran,Ran,1985,162,14 anos,Drama,Akira Kurosawa,Japão,Tatsuya Nakadai,Japonês
The Bad Sleep Well,Homem Mau Dorme Bem,1960,151,14 anos,Drama,Akira Kurosawa,Japão,Tatsuya Nakadai,Japonês
Prisoners,Os Suspeitos,2013,153,16 anos,Suspense,Denis Villeneuve,Estados Unidos,Hugh Jackman,Inglês
Léon: The Professional,O Profissional,1994,110,14 anos,Ação,Luc Besson,França,Jean Reno|Natalie Portman,Inglês
The Big Blue,Imensidão Azul,1988,168,12 anos,Drama,Luc Besson,França,Jean Reno,Francês
La Femme Nikita,Nikita: Criada para Matar,1990,117,16 anos,Ação,Luc Besson,França,Jean Reno,Francês
The Family,A Família,2013,111,16 anos,Comédia,Luc Besson,França,Robert De Niro,Inglês
Lucy,Lucy,2014,89,16 anos,Ficção Científica,Luc Besson,França,Scarlett Johansson,Inglês
Subway,Subway,1985,104,14 anos,Suspense,Luc Besson,França,Jean Reno,Francês
Taxi Driver,Taxi Driver: Motorista de Táxi,1976,114,16 anos,Drama,Martin Scorsese,Estados Unidos,Robert De Niro,Inglês
Raging Bull,Touro Indomável,1980,129,16 anos,Drama,Martin Scorsese,Estados Unidos,Robert De Niro,Inglês
Goodfellas,Os Bons Companheiros,1990,145,18 anos,Drama,Martin Scorsese,Estados Unidos,Robert De Niro,Inglês
Casino,Cassino,1995,178,18 anos,Drama,Martin Scorsese,Estados Unidos,Robert De Niro,Inglês
Cape Fear,Cabo do Medo,1991,128,16 anos,Suspense,Martin Scorsese,Estados Unidos,Robert De Niro,Inglês

