original_title,portuguese_title,release_date,duration_minutes,age_rating,theme,director,country,actors,languages
Jackie Brown,Jackie Brown,1997,154,18 anos,Suspense,Quentin Tarantino,Estados Unidos,Samuel L. Jackson,Inglês
Gran Torino,Gran Torino,2008,116,16 anos,Drama,Clint Eastwood,Estados Unidos,Clint Eastwood,Inglês
Million Dollar Baby,Menina de Ouro,2004,132,12 anos,Drama,Clint Eastwood,Estados Unidos,Clint Eastwood|Morgan Freeman,Inglês
Unforgiven,Os Imperdoáveis,1992,130,14 anos,Drama,Clint Eastwood,Estados Unidos,Clint Eastwood|Morgan Freeman,Inglês
Invictus,Invictus,2009,134,10 anos,Drama,Clint Eastwood,Estados Unidos,Morgan Freeman,Inglês
Sully,Sully: O Herói do Rio Hudson,2016,96,10 anos,Drama,Clint Eastwood,Estados Unidos,Tom Hanks,Inglês
Memories of Murder,Memórias de um Assassino,2003,132,16 anos,Suspense,Bong Joon-ho,Coreia do Sul,Song Kang-ho,Coreano
The Host,O Hospedeiro,2006,120,14 anos,Terror,Bong Joon-ho,Coreia do Sul,Song Kang-ho,Coreano
Snowpiercer,Expresso do Amanhã,2013,126,16 anos,Ficção Científica,Bong Joon-ho,Coreia do Sul,Tilda Swinton,Inglês
Okja,Okja,2017,120,12 anos,Ficção Científica,Bong Joon-ho,Coreia do Sul,Tilda Swinton,Coreano
Howl's Moving Castle,O Castelo Animado,2004,119,Livre,Animação,Hayao Miyazaki,Japão,Christian Bale,Japonês
The Boy and the Heron,O Menino e a Garça,2023,124,12 anos,Animação,Hayao Miyazaki,Japão,Christian Bale,Japonês
Yojimbo,Yojimbo: O Guarda-Costas,1961,110,14 anos,Ação,Akira Kurosawa,Japão,Tatsuya Nakadai,Japonês
Sanjuro,Sanjuro,1962,96,14 anos,Ação,Akira Kurosawa,Japão,Tatsuya Nakadai,Japonês
High and Low,Céu e Inferno,1963,143,14 anos,Suspense,Akira Kurosawa,Japão,Tatsuya Nakadai,Japonês

